AP7	Sample_ID	Panel	cpuBWA
Lib009	LungFusion	ITFTNA	2
Lib010	LungFusion	ITFTNA	2
Lib011	LungFusion	ITFTNA	2
Lib012	LungFusion	ITFTNA	2
Lib013	LungFusion	ITFTNA	2
Lib014	LungFusion	ITFTNA	2
Lib015	LungFusion	ITFTNA	2
Lib016	LungFusion	ITFTNA	2
Lib017	LungFusion	ITFTNA	2
Lib018	LungFusion	ITFTNA	2
Lib019	LungFusion	SARC	2
#Y09-P709	LungFusion	LungFusion	2
#Y10-P710	LungFusion	LungFusion	2
#Y11-P711	LungFusion	LungFusion	2
#Y12-P712	LungFusion	LungFusion	2
#Y13-P713	LungFusion	LungFusion	2
#Y14-P714	LungFusion	LungFusion	2
#Y15-P715	LungFusion	LungFusion	2
#Y16-P716	LungFusion	LungFusion	2
#Y17-P717	LungFusion	LungFusion	2
#Y18-P718	LungFusion	LungFusion	2
#Y19-P719	LungFusion	LungFusion	2
